A,B,C,D,E,F,G,Height,J,K,I,Text
3,1,6,1,0,0,944,1026,468,39,-1
4,1,6,1,1,0,944,1026,456,32,-1
5,1,6,1,1,1,944,1036,11,13,88,N
5,1,6,1,1,2,962,1035,107,14,67,2778534.837
5,1,6,1,1,3,1173,1042,2,16,67,{
5,1,6,1,1,4,1281,1026,119,14,68,E=492187.625
4,1,6,1,2,0,1137,1049,275,16,-1
5,1,6,1,2,1,1137,1059,37,6,25,|
5,1,6,1,2,2,1281,1049,131,14,73,"N=2778536,183"
2,1,7,0,0,0,1098,1069,441,106,-1
3,1,7,1,0,0,1098,1069,441,106,-1
4,1,7,1,1,0,1171,1069,368,35,-1
5,1,7,1,1,1,1171,1078,2,26,89,|
5,1,7,1,1,2,1281,1070,85,15,93,EXISTING
5,1,7,1,1,3,1374,1070,42,14,91,11KV
5,1,7,1,1,4,1423,1069,59,15,96,CABLE
5,1,7,1,1,5,1490,1069,49,14,96,DUCT
4,1,7,1,2,0,1098,1102,241,33,-1
5,1,7,1,2,1,1098,1104,81,31,96,TRIAL
5,1,7,1,2,2,1190,1104,41,22,65,PIT
5,1,7,1,2,3,1240,1116,8,3,65,-
5,1,7,1,2,4,1265,1102,74,30,88,TP-30
4,1,7,1,3,0,1167,1152,2,23,-1
5,1,7,1,3,1,1167,1152,2,23,65,|
2,1,8,0,0,0,1103,1195,450,54,-1
3,1,8,1,0,0,1103,1195,450,54,-1
4,1,8,1,1,0,1165,1195,388,19,-1
5,1,8,1,1,1,1165,1195,2,15,81,|
5,1,8,1,1,2,1542,1204,11,10,92,4
4,1,8,1,2,0,1103,1227,339,22,-1
5,1,8,1,2,1,1103,1230,110,19,93,EXISTING
5,1,8,1,2,2,1224,1229,57,19,92,11KV
5,1,8,1,2,3,1290,1228,78,19,95,CABLE
5,1,8,1,2,4,1377,1227,65,20,95,DUCT
2,1,9,0,0,0,1103,1260,382,48,-1
3,1,9,1,0,0,1103,1260,382,48,-1
4,1,9,1,1,0,1103,1260,122,20,-1
5,1,9,1,1,1,1103,1260,122,20,91,TL=16.218
4,1,9,1,2,0,1176,1287,309,21,-1
5,1,9,1,2,1,1176,1289,143,19,96,PROPOSED
5,1,9,1,2,2,1329,1287,156,20,96,ELECTRICAL
2,1,10,0,0,0,859,1339,494,17,-1
3,1,10,1,0,0,859,1339,494,17,-1
4,1,10,1,1,0,859,1339,494,17,-1
5,1,10,1,1,1,859,1339,494,17,95
2,1,11,0,0,0,1153,1346,5,99,-1
3,1,11,1,0,0,1153,1346,5,99,-1
4,1,11,1,1,0,1153,1346,5,99,-1
5,1,11,1,1,1,1153,1346,5,99,95
2,1,12,0,0,0,1037,1348,4,99,-1
3,1,12,1,0,0,1037,1348,4,99,-1
4,1,12,1,1,0,1037,1348,4,99,-1
5,1,12,1,1,1,1037,1348,4,99,95
2,1,13,0,0,0,1039,1443,117,5,-1
3,1,13,1,0,0,1039,1443,117,5,-1
4,1,13,1,1,0,1039,1443,117,5,-1
5,1,13,1,1,1,1039,1443,117,5,95
2,1,14,0,0,0,837,1298,675,297,-1
3,1,14,1,0,0,837,1298,675,297,-1
4,1,14,1,1,0,888,1298,238,20,-1
5,1,14,1,1,1,888,1315,11,3,44,=
5,1,14,1,1,2,1067,1298,59,19,91,1.582
4,1,14,1,2,0,837,1308,552,44,-1
5,1,14,1,2,1,837,1308,157,44,3,OGLE16426
5,1,14,1,2,2,1042,1324,16,5,0,i}
5,1,14,1,2,3,1176,1321,82,19,63,CABLE
5,1,14,1,2,4,1267,1319,122,20,82,TL=14.226
4,1,14,1,3,0,992,1382,19,26,-1
5,1,14,1,3,1,992,1382,19,26,0,&
4,1,14,1,4,0,856,1406,218,41,-1
5,1,14,1,4,1,856,1406,126,41,3,LvL=14.100
5,1,14,1,4,2,992,1411,31,33,57,=)
5,1,14,1,4,3,1034,1395,10,56,68,|
5,1,14,1,4,4,1068,1419,6,15,53,|
4,1,14,1,5,0,1068,1437,444,37,-1
5,1,14,1,5,1,1068,1437,34,37,34,“et
5,1,14,1,5,2,1194,1447,39,18,81,Exi:
5,1,14,1,5,3,1245,1445,84,20,96,Potable
5,1,14,1,5,4,1338,1446,63,18,92,water
5,1,14,1,5,5,1409,1445,103,19,87,2150mm
4,1,14,1,6,0,1080,1476,295,34,-1
5,1,14,1,6,1,1080,1476,22,34,65,"=,"
5,1,14,1,6,2,1123,1487,4,22,86,|
5,1,14,1,6,3,1195,1478,48,23,93,Pipe
5,1,14,1,6,4,1252,1477,123,19,91,TL=13.136
4,1,14,1,7,0,1118,1511,13,14,-1
5,1,14,1,7,1,1118,1511,13,14,7,€
4,1,14,1,8,0,1051,1527,155,24,-1
5,1,14,1,8,1,1051,1528,97,23,92,Section
5,1,14,1,8,2,1158,1527,48,23,90,A-A
4,1,14,1,9,0,1012,1563,232,32,-1
5,1,14,1,9,1,1012,1565,81,30,96,TRIAL
5,1,14,1,9,2,1104,1565,41,22,92,PIT
5,1,14,1,9,3,1153,1577,8,4,92,-
5,1,14,1,9,4,1170,1563,74,24,92,TP-30
2,1,15,0,0,0,1407,1628,146,55,-1
3,1,15,1,0,0,1407,1628,146,55,-1
4,1,15,1,1,0,1407,1628,146,55,-1
5,1,15,1,1,1,1407,1628,146,55,92,TP-30
2,1,16,0,0,0,2746,116,21,769,-1
3,1,16,1,0,0,2746,116,21,769,-1
4,1,16,1,1,0,2746,116,21,769,-1
5,1,16,1,1,1,2746,116,21,769,95
2,1,17,0,0,0,2770,122,112,20,-1
3,1,17,1,0,0,2770,122,112,20,-1
4,1,17,1,1,0,2770,122,112,20,-1
5,1,17,1,1,1,2770,123,40,19,31,KEY
5,1,17,1,1,2,2823,122,59,19,31,PLAN
2,1,18,0,0,0,2940,379,92,31,-1
3,1,18,1,0,0,2940,379,92,31,-1
4,1,18,1,1,0,2940,379,92,31,-1
5,1,18,1,1,1,2940,379,92,31,95
2,1,19,0,0,0,2775,451,387,27,-1
3,1,19,1,0,0,2775,451,387,27,-1
4,1,19,1,1,0,2775,451,387,12,-1
5,1,19,1,1,1,2775,455,3,8,68,1
5,1,19,1,1,2,2793,454,19,9,84,ALL
5,1,19,1,1,3,2819,453,78,9,93,DIMENSIONS
5,1,19,1,1,4,2901,453,20,9,93,ARE
5,1,19,1,1,5,2931,452,10,9,93,IN
5,1,19,1,1,6,2947,452,50,9,94,METRES
5,1,19,1,1,7,3003,452,25,8,94,AND
5,1,19,1,1,8,3033,451,27,9,96,PIPE
5,1,19,1,1,9,3066,451,72,9,96,DIAMETERS
5,1,19,1,1,10,3142,451,20,9,96,ARE
4,1,19,1,2,0,2793,466,284,12,-1
5,1,19,1,2,1,2793,469,10,9,95,IN
5,1,19,1,2,2,2808,468,82,10,96,MILLIMETERS
5,1,19,1,2,3,2896,467,47,10,96,UNLESS
5,1,19,1,2,4,2948,466,75,10,96,OTHERWISE
5,1,19,1,2,5,3028,466,49,10,63,STATED.
2,1,20,0,0,0,2889,498,141,10,-1
3,1,20,1,0,0,2889,498,141,10,-1
4,1,20,1,1,0,2889,498,141,10,-1
5,1,20,1,1,1,2889,499,69,9,93,PROPOSED
5,1,20,1,1,2,2964,499,26,9,82,11kV
5,1,20,1,1,3,2995,498,35,10,96,CABLE
2,1,21,0,0,0,2777,1956,60,12,-1
3,1,21,1,0,0,2777,1956,60,12,-1
4,1,21,1,1,0,2777,1956,60,12,-1
5,1,21,1,1,1,2777,1957,35,11,86,Drawing
5,1,21,1,1,2,2821,1956,16,8,54,“ile
2,1,22,0,0,0,2786,1989,368,58,-1
3,1,22,1,0,0,2786,1989,368,58,-1
4,1,22,1,1,0,2786,1989,368,28,-1
5,1,22,1,1,1,2786,1992,55,22,96,Trial
5,1,22,1,1,2,2851,1992,42,21,96,Pits
5,1,22,1,1,3,2903,1991,83,22,96,Details
5,1,22,1,1,4,2995,1991,41,20,96,For
5,1,22,1,1,5,3044,1989,110,28,96,Proposed
4,1,22,1,2,0,2900,2025,140,22,-1
5,1,22,1,2,1,2900,2025,62,22,70,1JkV
5,1,22,1,2,2,2971,2025,69,21,96,Cable
2,1,23,0,0,0,1670,694,1522,1570,-1
3,1,23,1,0,0,1670,694,1522,1570,-1
4,1,23,1,1,0,1670,694,1522,1570,-1
5,1,23,1,1,1,1670,694,1522,1570,95
2,1,24,0,0,0,181,2183,2571,73,-1
3,1,24,1,0,0,181,2183,2571,73,-1
4,1,24,1,1,0,181,2183,2571,73,-1
5,1,24,1,1,1,181,2183,2571,73,95
2,1,25,0,0,0,3167,384,13,503,-1
3,1,25,1,0,0,3167,384,13,503,-1
4,1,25,1,1,0,3167,384,13,503,-1
5,1,25,1,1,1,3167,384,13,503,95
